query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
龙傲天,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
蜕变俱乐部2,蜕变俱乐部2：海的女儿,7.2,7.1,0,0,0,6.5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7607,14689,198,阿斯巴甜,4男3女 4.0小时 高阶 2020.08发行,欧美 机制 沉浸 童话
今夕何夕,今夕何夕,6.7,7.0,6.4,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,19494,250,KEYS工作室,5男2女 4.5小时 进阶 2020.08发行,古风 推理 沉浸 家国
蜕变俱乐部,蜕变俱乐部,7.3,7.2,0,7.1,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,17865,239,阿斯巴甜,4男3女 5.0小时 高阶 2020.06发行,
土狗,土狗,8.0,7.7,0,7.6,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,5049,37782,5692,解语花剧本工作室,4男2女 7.0小时 进阶 2025.06发行,
我是谜答案,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
百变大侦探,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
苍岐,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
再见的三次方,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
虚无的十字架,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
暗黑者2七宗欲,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
野蔷薇2落椿,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
雉双归,雉双归,8.0,7.7,7.3,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,33133,1608,慢热TUO,【5小时/令翼/没有边缘/体验分：8分】 ✅一句话总结：宝藏盒装有机会快来补课呀！ 『🌟关键词：ip本，推理情感并重，流程衔接顺畅，文笔细腻，故事分享大会，有结局抉择』 『🌟角色体验：男女玩家体验没有明...全文,古风 推理 沉浸 武侠
东君前传,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
俞家旅店,俞家旅店,7.2,6.8,6.7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,3951,190,百川望辰工作室,3男1女 2.0小时 新手,架空 推理 悬疑 新手
三体最终决议,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
你还有遗憾吗,你还有遗憾吗,6.7,6.3,0,0,0,6.4,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,1.1,3110,101,西安如约而至; 天津剧盟发行工作室,2男4女 4.5小时 新手 2021.08发行,
哈哈哈,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
兔子的世界下起了胡萝卜雨,兔子的世界下起了胡萝卜雨,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,九袋剧探,3男3女 4.5小时 新手,
将死未死的THX,将死未死的THX,6.1,6.5,6.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14084,33466,1143,满分工作室; DA剧本工场,【将死未死的THX】反转／推理／还原／悬疑 【角色时长】眼镜男／7小时 【人数配置】4男2女／可反串 【推荐角色】无边缘位，确实想上车体验的话推荐衬衫男／卫衣女 【选店建议】该本对DM要求极高！不是演...全文,
