query,original_name,sheet,row,source_link,people_count
余香,余香（5人）硬核还原推理情感,狐小狸剧本杀目录,2,https://pan.baidu.com/s/1eQ6Py2wkPnRts59FOuTMvQ,5
欢迎来到万事屋,欢迎来到万事屋（6人）日式治愈温情,狐小狸剧本杀目录,3,https://pan.baidu.com/s/1Yjnt3wbrw81LxhqhPMbccQ,6
黑色党徒,黑色党徒（6人）硬核推理进阶,狐小狸剧本杀目录,4,https://pan.baidu.com/s/1FfPIUcXpvAknfQiM8okQxQ,6
你好,你好（6人）开放3男3女现代情感,狐小狸剧本杀目录,5,https://pan.baidu.com/s/15zeiNCKSt1ntYPpsfuZ7Rg,6
龙傲天,龙傲天（6人）现代欢乐本格,狐小狸剧本杀目录,6,https://pan.baidu.com/s/1eVyjiUvKhs1iQJLaraVnSw,6
艺伎回忆录,艺伎回忆录（8人）日式情感阵营,狐小狸剧本杀目录,7,https://pan.baidu.com/s/1ZGzynRlzVlXyz-iYdDF7dA,8
蜕变俱乐部2,蜕变俱乐部2（7人）硬核反转推理还原,狐小狸剧本杀目录,8,https://pan.baidu.com/s/1GO9UEHPgpgkiGiPaq76yJQ,7
舍离,舍离（6人）古风仙侠情感沉浸,狐小狸剧本杀目录,9,https://pan.baidu.com/s/1IGw8QgtOSBX9F72bvFmrtw,6
得分王,得分王（5人）欢乐本格,狐小狸剧本杀目录,10,https://pan.baidu.com/s/1kijPxGIDGv09GOw_Ap3-Dw,5
在人间,在人间（完整版）（6人）情感沉浸推理,狐小狸剧本杀目录,11,https://pan.baidu.com/s/1d4KzQlavu1wwUfSGQzWBxw,6
七个密室,七个密室（6人）密室烧脑推理本格,狐小狸剧本杀目录,12,https://pan.baidu.com/s/1vFSbQgmV4mZxxKuf9826cQ,6
君似明月我似雾,君似明月我似雾（6人）古风情感沉浸,狐小狸剧本杀目录,13,https://pan.baidu.com/s/14DnUO_tBgbv48JVNyIIarQ,6
今夕何夕,今夕何夕,狐小狸剧本杀目录,14,https://pan.baidu.com/s/1x7UbSHkVGjlYc2a7AGEKtQ,7
蜕变俱乐部,蜕变俱乐部（7人）欧洲烧脑机制反转,狐小狸剧本杀目录,15,https://pan.baidu.com/s/11pVPZZDdTKBOho_96CYUhw,7
再见萤火虫,再见萤火虫（7人）情感沉浸,狐小狸剧本杀目录,16,https://pan.baidu.com/s/1t1fPbSS54IqFrpK3gvX76w,7
纸妻,纸妻（6人）古风情感沉浸,狐小狸剧本杀目录,17,https://pan.baidu.com/s/1Kvb4gkV1MbfFerQt4kjB2Q,6
土狗,土狗（6人悬疑还原本）,狐小狸剧本杀目录,18,https://pan.baidu.com/s/1_rQt_aglaaY083nRcw9BMA,6
月下沙利叶,月下沙利叶【城限】,狐小狸剧本杀目录,19,https://pan.baidu.com/s/1ZMk_GBtIMlqCusspBkHQKQ,6
